"booking_service_id","booking_id","service_id","quantity","unit_price_inr","base_amount_inr","gst_amount_inr","total_price_inr","service_date","service_time","status","staff_assigned","special_instructions","guest_rating","guest_feedback","created_at","updated_at"
"BS000001","IND002751","SVC0033",4,"1355.69","5422.76","976.10","6398.86","2025-09-06","08:19:00","Completed","EMP0724","No spicy food",5,"Excellent service","2025-09-03 20:06:40","2025-09-06 18:06:40"
"BS000002","IND002761","SVC0029",3,"7706.00","23118.00","4161.24","27279.24","2025-08-28","15:25:00","Completed","EMP0005","No spicy food",NULL,"Highly recommended","2025-08-27 04:06:40","2025-08-28 18:06:40"
"BS000003","IND003366","SVC0276",3,"5187.86","15563.58","2801.44","18365.02","2025-10-07","22:23:00","Completed","EMP0328","Vegetarian preference",NULL,"Satisfied","2025-10-05 10:06:40","2025-10-07 18:06:40"
"BS000004","IND003091","SVC0245",2,"5714.73","11429.46","2057.30","13486.76","2025-10-02","19:51:00","In Progress","EMP0034","Call before arrival",NULL,"Average experience","2025-10-02 00:06:40","2025-10-02 18:06:40"
"BS000005","IND001553","SVC0171",1,"1170.29","1170.29","210.65","1380.94","2025-07-15","23:09:00","Pending","EMP0791","Group service",4,"Satisfied","2025-07-13 03:06:40","2025-07-15 18:06:40"
"BS000006","IND004921","SVC0125",5,"3463.60","17318.00","3117.24","20435.24","2025-07-24","22:36:00","Confirmed","EMP0279","Vegetarian preference",5,"Average experience","2025-07-22 21:06:40","2025-07-24 18:06:40"
"BS000007","IND001777","SVC0111",5,"3840.31","19201.55","3456.28","22657.83","2025-07-26","11:49:00","Pending","EMP0406","Call before arrival",4,"Average experience","2025-07-25 18:06:40","2025-07-26 18:06:40"
"BS000008","IND004936","SVC0250",2,"1632.27","3264.54","587.62","3852.16","2025-08-15","18:34:00","Cancelled","EMP0334","Quiet service please",NULL,"Outstanding","2025-08-15 10:06:40","2025-08-15 18:06:40"
"BS000009","IND003572","SVC0125",2,"477.36","954.72","171.85","1126.57","2025-07-12","15:50:00","Pending","EMP0770","Late evening service",NULL,"Satisfied","2025-07-11 07:06:40","2025-07-12 18:06:40"
"BS000010","IND000524","SVC0012",3,"4805.14","14415.42","2594.78","17010.20","2025-09-06","09:56:00","Completed","EMP0660","No spicy food",NULL,"Highly recommended","2025-09-06 05:06:40","2025-09-06 18:06:40"
"BS000011","IND004937","SVC0268",4,"1548.61","6194.44","1115.00","7309.44","2025-08-30","10:03:00","Confirmed","EMP0424","Hindi speaking staff",4,"Satisfied","2025-08-30 08:06:40","2025-08-30 18:06:40"
"BS000012","IND001288","SVC0269",4,"5458.56","21834.24","3930.16","25764.40","2025-08-31","14:47:00","In Progress","EMP0414","Call before arrival",5,"Excellent service","2025-08-28 21:06:40","2025-08-31 18:06:40"
"BS000013","IND002678","SVC0181",3,"3613.21","10839.63","1951.13","12790.76","2025-10-16","10:49:00","Cancelled","EMP0254","Traditional setup",3,"Excellent service","2025-10-16 17:06:40","2025-10-16 18:06:40"
