"service_id","hotel_id","service_name","category","description","price_inr","gst_rate_percent","total_price_inr","availability_hours","staff_required","duration_minutes","is_active","booking_required","advance_booking_hours","seasonal_service","created_at","updated_at"
"SVC0001",41,"Temple Tour","Tourism","Guided cultural tours","1513.74","18.00","1786.21","9AM-9PM",3,113,True,True,35,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0002",40,"Temple Tour","Tourism","Guided cultural tours","1693.41","18.00","1998.22","24 hours",4,49,False,True,30,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0003",35,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","949.36","18.00","1120.24","24 hours",2,101,True,False,47,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0004",42,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","2403.43","18.00","2836.05","24 hours",4,36,True,True,39,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0005",20,"Cultural Show","Entertainment","Traditional dance performances","1153.95","18.00","1361.66","9AM-9PM",1,133,True,True,10,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0006",8,"Cultural Show","Entertainment","Traditional dance performances","1245.64","18.00","1469.86","6AM-10PM",4,149,True,False,37,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0007",14,"Airport Transfer","Transportation","Pick-up/drop service","968.99","18.00","1143.41","24 hours",1,203,True,False,4,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0008",5,"Cultural Show","Entertainment","Traditional dance performances","1436.64","18.00","1695.24","6AM-10PM",2,134,True,True,10,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0009",1,"Laundry Service","General","Clothes washing service","131.59","18.00","155.28","9AM-9PM",2,239,False,False,48,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0010",5,"Cultural Show","Entertainment","Traditional dance performances","1323.29","18.00","1561.48","6AM-10PM",4,64,True,False,22,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0011",43,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","644.73","18.00","760.78","6AM-10PM",3,66,True,False,20,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0012",35,"Airport Transfer","Transportation","Pick-up/drop service","984.21","18.00","1161.37","9AM-9PM",4,134,True,True,8,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0013",7,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","3179.63","18.00","3751.96","24 hours",2,136,False,False,25,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0014",3,"Airport Transfer","Transportation","Pick-up/drop service","704.11","18.00","830.85","9AM-9PM",3,119,True,False,7,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0015",20,"Yoga & Meditation","Wellness","Morning yoga sessions","428.20","18.00","505.28","6AM-10PM",3,158,False,True,27,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0016",2,"Laundry Service","General","Clothes washing service","181.02","18.00","213.60","6AM-10PM",1,179,True,True,21,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0017",25,"Yoga & Meditation","Wellness","Morning yoga sessions","569.98","18.00","672.58","6AM-10PM",4,118,True,True,7,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0018",25,"Temple Tour","Tourism","Guided cultural tours","1624.36","18.00","1916.74","24 hours",1,155,True,True,6,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0019",26,"Yoga & Meditation","Wellness","Morning yoga sessions","608.35","18.00","717.85","24 hours",2,46,False,True,15,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
