"hotel_id","hotel_name","address","city","state","country","phone","email","website","star_rating","total_rooms","check_in_time","check_out_time","amenities","gst_number","pan_number","created_at","updated_at"
1,"The Grand Maharaja Palace Mumbai","46, Mall Road","Coorg","Karnataka","India","+91-77776-79248","info@thegrandmaharaj.in","www.thegrandmaharaj.in",3,182,"14:00:00","12:00:00","WiFi, AC, Multi-cuisine Restaurant, Banquet Hall, Parking, Gym","83MNOPQR8650","ABCDE2230A","2022-05-06 00:00:00","2025-08-19 00:00:00"
2,"Royal Heritage Resort Rajasthan","128, Connaught Place","Mount Abu","Rajasthan","India","+91-92496-49138","info@royalheritagere.in","www.royalheritagere.in",5,88,"14:00:00","12:00:00","WiFi, AC, Business Center, Conference Rooms, Gym, Travel Desk","77ABCDEF4376","ABCDE3965B","2024-08-10 00:00:00","2025-08-19 00:00:00"
3,"Backwater Bliss Kerala Resort","900, Commercial Street","Surat","Gujarat","India","+91-69872-38932","info@backwaterblissk.in","www.backwaterblissk.in",3,141,"14:00:00","12:00:00","WiFi, AC, Heritage Architecture, Cultural Shows, Garden, Library","26MNOPQR1371","PQRST1649A","2020-04-29 00:00:00","2025-08-19 00:00:00"
4,"Mumbai Metropolitan Hotel","395, MG Road","Kanpur","Uttar Pradesh","India","+91-85580-61486","info@mumbaimetropoli.in","www.mumbaimetropoli.in",3,97,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","10YZ12345956","KLMNO8794B","2023-10-10 00:00:00","2025-08-19 00:00:00"
5,"Delhi Crown Plaza","491, Brigade Road","Kodaikanal","Tamil Nadu","India","+91-93721-43782","info@delhicrownplaza.in","www.delhicrownplaza.in",3,102,"14:00:00","12:00:00","WiFi, AC, Heritage Architecture, Cultural Shows, Garden, Library","92GHIJKL7118","KLMNO3510E","2022-04-07 00:00:00","2025-08-19 00:00:00"
6,"Bangalore Tech Park Hotel","50, Station Road","Ranthambore","Rajasthan","India","+91-79092-26628","info@bangaloretechpa.in","www.bangaloretechpa.in",5,65,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","35ABCDEF3606","ABCDE7526C","2022-08-27 00:00:00","2025-08-19 00:00:00"
7,"Chennai Marina Bay Resort","937, Station Road","Shimla","Himachal Pradesh","India","+91-89999-82270","info@chennaimarinaba.in","www.chennaimarinaba.in",4,160,"14:00:00","12:00:00","WiFi, AC, Heritage Architecture, Cultural Shows, Garden, Library","94GHIJKL5588","FGHIJ6593A","2022-11-08 00:00:00","2025-08-19 00:00:00"
8,"Kolkata Cultural Heritage Hotel","266, Brigade Road","Bikaner","Rajasthan","India","+91-84315-18339","info@kolkatacultural.in","www.kolkatacultural.in",5,89,"14:00:00","12:00:00","WiFi, AC, Heritage Architecture, Cultural Shows, Garden, Library","12STUVWX7669","PQRST1257E","2022-04-02 00:00:00","2025-08-19 00:00:00"
9,"Goa Beach Paradise Resort","281, Mall Road","Mount Abu","Rajasthan","India","+91-79797-30581","info@goabeachparadis.in","www.goabeachparadis.in",5,139,"14:00:00","12:00:00","WiFi, AC, Business Center, Conference Rooms, Gym, Travel Desk","28ABCDEF8918","ABCDE4123D","2023-10-03 00:00:00","2025-08-19 00:00:00"
10,"Shimla Hill Station Lodge","545, Gandhi Road","Rajkot","Gujarat","India","+91-93186-46884","info@shimlahillstati.in","www.shimlahillstati.in",5,42,"14:00:00","12:00:00","WiFi, AC, Heritage Architecture, Cultural Shows, Garden, Library","84YZ12347383","ABCDE7644B","2024-04-09 00:00:00","2025-08-19 00:00:00"
11,"Jaipur Pink City Palace","444, Connaught Place","Pelling","Sikkim","India","+91-71234-86507","info@jaipurpinkcityp.in","www.jaipurpinkcityp.in",5,183,"14:00:00","12:00:00","WiFi, AC, Multi-cuisine Restaurant, Banquet Hall, Parking, Gym","84STUVWX9584","PQRST4615A","2019-12-19 00:00:00","2025-08-19 00:00:00"
12,"Agra Taj View Hotel","752, Park Street","Hampi","Karnataka","India","+91-81598-61682","info@agratajviewhote.in","www.agratajviewhote.in",4,163,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","55YZ12343461","FGHIJ3387E","2021-08-28 00:00:00","2025-08-19 00:00:00"
13,"Hyderabad Cyber City Hotel","907, Commercial Street","Lakshadweep","Lakshadweep","India","+91-74177-15432","info@hyderabadcyberc.in","www.hyderabadcyberc.in",5,45,"14:00:00","12:00:00","WiFi, AC, Business Center, Conference Rooms, Gym, Travel Desk","91ABCDEF4536","KLMNO8019B","2023-08-23 00:00:00","2025-08-19 00:00:00"
14,"Pune Business Center Inn","692, MG Road","Shimla","Himachal Pradesh","India","+91-63280-83210","info@punebusinesscen.in","www.punebusinesscen.in",3,179,"14:00:00","12:00:00","WiFi, AC, Multi-cuisine Restaurant, Banquet Hall, Parking, Gym","24YZ12344428","ABCDE6443A","2023-07-05 00:00:00","2025-08-19 00:00:00"
15,"Udaipur Lake Palace Resort","376, Brigade Road","Sundarbans","West Bengal","India","+91-88196-17655","info@udaipurlakepala.in","www.udaipurlakepala.in",4,53,"14:00:00","12:00:00","WiFi, AC, Heritage Architecture, Cultural Shows, Garden, Library","25ABCDEF5281","ABCDE3129A","2024-04-25 00:00:00","2025-08-19 00:00:00"
16,"Mysore Royal Heritage Hotel","85, Brigade Road","Bangalore","Karnataka","India","+91-93972-10246","info@mysoreroyalheri.in","www.mysoreroyalheri.in",3,196,"14:00:00","12:00:00","WiFi, AC, Multi-cuisine Restaurant, Banquet Hall, Parking, Gym","43MNOPQR5981","ABCDE5361A","2023-06-22 00:00:00","2025-08-19 00:00:00"
17,"Kochi Backwater Resort","912, Park Street","Kaziranga","Assam","India","+91-79953-54017","info@kochibackwaterr.in","www.kochibackwaterr.in",3,76,"14:00:00","12:00:00","WiFi, AC, Multi-cuisine Restaurant, Banquet Hall, Parking, Gym","84GHIJKL2406","FGHIJ3663B","2022-08-12 00:00:00","2025-08-19 00:00:00"
18,"Rishikesh Yoga Retreat","6, Connaught Place","Ahmedabad","Gujarat","India","+91-91420-37644","info@rishikeshyogare.in","www.rishikeshyogare.in",4,86,"14:00:00","12:00:00","WiFi, AC, Business Center, Conference Rooms, Gym, Travel Desk","81STUVWX9203","FGHIJ2976B","2021-01-17 00:00:00","2025-08-19 00:00:00"
19,"Manali Mountain Lodge","835, Park Street","Pelling","Sikkim","India","+91-97035-22288","info@manalimountainl.in","www.manalimountainl.in",5,191,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","30STUVWX9669","FGHIJ6581C","2021-01-29 00:00:00","2025-08-19 00:00:00"
20,"Darjeeling Tea Garden Resort","58, Commercial Street","Kochi","Kerala","India","+91-75076-30215","info@darjeelingteaga.in","www.darjeelingteaga.in",5,100,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","43YZ12347605","UVWXY6771C","2022-05-17 00:00:00","2025-08-19 00:00:00"
