"room_id","hotel_id","room_number","room_type","bed_type","capacity","size_sqft","base_price_inr","current_status","floor_number","view_type","amenities","gst_rate_percent","created_at","updated_at"
1,40,"1510","Pool View","Twin",2,333,"6294.00","Maintenance",1,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
2,7,"143","Executive Room","Twin",3,333,"12885.00","Available",1,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
3,20,"1326","Standard AC","Double",7,792,"3270.00","Maintenance",1,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
4,27,"1837","Executive Room","Single",6,276,"9964.00","Out of Order",1,"Heritage View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
5,16,"410","Presidential Suite","Single",7,861,"20362.00","Available",4,"Mountain View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
6,20,"513","Traditional Haveli Room","King",6,588,"6560.00","Maintenance",5,"Pool View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
7,50,"832","Heritage Room","Single",5,1179,"22543.00","Housekeeping",8,"Heritage View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
8,37,"718","Standard AC","Twin",5,1271,"4852.00","Housekeeping",7,"Forest View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
9,14,"711","Business Room","Single",5,1454,"3148.00","Maintenance",7,"Pool View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
10,13,"607","Royal Suite","Single",7,1303,"27743.00","Out of Order",6,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
11,22,"1904","Royal Suite","King",6,487,"12959.00","Housekeeping",1,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
12,20,"149","Presidential Suite","Twin",5,1409,"15793.00","Maintenance",1,"Pool View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
13,5,"107","Traditional Haveli Room","King",7,405,"19462.00","Out of Order",1,"Forest View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
14,20,"1630","Presidential Suite","Double",3,317,"27746.00","Occupied",1,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
15,13,"337","Family Suite","Double",3,1272,"21003.00","Maintenance",3,"Mountain View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
16,19,"135","Traditional Haveli Room","Single",1,792,"15744.00","Available",1,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
17,10,"1816","Garden View","King",4,1277,"2590.00","Out of Order",1,"Pool View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
18,18,"1444","Business Room","Double",4,1106,"7773.00","Available",1,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
19,43,"1548","Maharaja Suite","Single",4,368,"32431.00","Available",1,"City View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
20,12,"1343","Honeymoon Suite","Single",1,668,"10012.00","Occupied",1,"Sea View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
21,2,"1321","Executive Room","King",8,587,"9254.00","Available",1,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
22,18,"1839","Luxury Villa","Single",5,394,"8894.00","Occupied",1,"Heritage View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
23,49,"929","Deluxe AC","Twin",2,1067,"7330.00","Occupied",9,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
24,23,"635","Palace Room","Twin",7,395,"19310.00","Out of Order",6,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
25,33,"1731","Heritage Room","Single",7,1273,"8635.00","Housekeeping",1,"Lake View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
26,13,"140","Luxury Villa","Double",2,588,"27442.00","Out of Order",1,"Heritage View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
27,33,"1616","Family Suite","Queen",6,1390,"24139.00","Out of Order",1,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
