"inventory_id","hotel_id","item_name","category","current_stock","minimum_stock","maximum_stock","unit_of_measure","unit_price_inr","total_value_inr","gst_rate_percent","supplier_name","supplier_contact","supplier_gst","last_ordered_date","next_order_date","expiry_date","storage_location","hsn_code","created_at","updated_at"
"INV000001",32,"Bed Linen Set","Room Supplies",1603,240,4488,"sets","800.00","1282400.00","5.00","Hotel Essentials India","+91-63191-28781","67ABCDE5376Z5F1","2025-07-31","2025-09-15",NULL,"Main Store","981388","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000002",28,"Towel Set","Room Supplies",1578,236,4418,"sets","500.00","789000.00","18.00","Hotel Essentials India","+91-81998-66370","94ABCDE8628Z5F1","2025-04-23","2025-09-27",NULL,"Kitchen Store","881199","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000003",9,"Toilet Paper","Bathroom Supplies",584,87,1635,"rolls","45.00","26280.00","18.00","Indian Hotel Supplies Ltd","+91-85126-92703","16ABCDE4155Z5F1","2025-07-26","2025-08-21",NULL,"Main Store","792628","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000004",10,"Shampoo Bottles","Amenities",2932,439,8209,"bottles","120.00","351840.00","18.00","Hotel Essentials India","+91-91415-97866","65ABCDE4273Z5F1","2025-07-24","2025-09-19","2026-09-05","Main Store","209758","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000005",23,"Tea/Coffee Sachets","Room Service",2572,385,7201,"packets","15.00","38580.00","12.00","Indian Hotel Supplies Ltd","+91-88057-48002","26ABCDE2297Z5F1","2025-04-25","2025-09-11","2026-09-09","Housekeeping Store","618766","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000006",9,"Mineral Water","Room Service",96,14,268,"bottles","25.00","2400.00","28.00","Hotel Essentials India","+91-68191-76211","21ABCDE7997Z5F1","2025-06-13","2025-09-16",NULL,"Housekeeping Store","384232","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000007",31,"Hotel Item 7","Bathroom Supplies",1539,230,4309,"bottles","1099.90","1692746.10","28.00","Hotel Essentials India","+91-68337-45607","72ABCDE4526Z5F1","2025-07-17","2025-09-25",NULL,"Kitchen Store","447713","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000008",50,"Hotel Item 8","Kitchen Supplies",822,123,2301,"units","798.85","656654.70","28.00","Hotel Essentials India","+91-69657-30656","73ABCDE1739Z5F1","2025-06-26","2025-09-02","2028-01-30","Kitchen Store","166655","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000009",33,"Hotel Item 9","Amenities",2454,368,6871,"sets","648.57","1591590.78","12.00","Indian Hotel Supplies Ltd","+91-92123-70964","79ABCDE2361Z5F1","2025-05-24","2025-08-27","2028-08-01","Kitchen Store","979412","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000010",14,"Hotel Item 10","Amenities",2783,417,7792,"pieces","374.16","1041287.28","5.00","Hotel Essentials India","+91-89851-64981","23ABCDE9144Z5F1","2025-05-20","2025-09-28",NULL,"Kitchen Store","426621","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000011",39,"Hotel Item 11","Amenities",182,27,509,"packets","487.39","88704.98","28.00","Hotel Essentials India","+91-77431-30702","34ABCDE4429Z5F1","2025-05-08","2025-09-25","2026-12-26","Housekeeping Store","936519","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000012",24,"Hotel Item 12","Kitchen Supplies",2619,392,7333,"pieces","702.80","1840633.20","5.00","Indian Hotel Supplies Ltd","+91-91165-86237","98ABCDE1413Z5F1","2025-06-14","2025-09-21","2028-02-12","Housekeeping Store","100221","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000013",10,"Hotel Item 13","Kitchen Supplies",379,56,1061,"sets","705.89","267532.31","28.00","Hotel Essentials India","+91-73326-88763","81ABCDE3597Z5F1","2025-05-30","2025-09-21","2027-10-27","Main Store","195462","2025-08-19 00:00:00","2025-08-19 00:00:00"
