"maintenance_id","hotel_id","room_id","issue_type","priority","description","reported_date","reported_by","assigned_staff","status","completion_date","cost_inr","gst_amount_inr","total_cost_inr","parts_used","vendor_involved","guest_impact","follow_up_required","warranty_applicable","created_at","updated_at"
"MNT000001",20,267,"Ceiling Fan","Critical","Window blind repair","2025-03-15 15:57:10","EMP0724","EMP0100","Open","2025-03-28 15:57:10","23264.42","4187.60","27452.02","Geyser Element","Brand Service Center","Minor",True,True,"2025-03-15 15:57:10","2025-03-28 15:57:10"
"MNT000002",39,NULL,"Carpentry","High","Geyser not heating water","2025-07-24 15:57:10","EMP0439","EMP0297","Completed","2025-07-26 15:57:10","3747.59","674.57","4422.16","AC Filter","Local Contractor","Minor",False,False,"2025-07-24 15:57:10","2025-07-26 15:57:10"
"MNT000003",46,983,"Plumbing","Medium","TV remote not working","2025-05-30 15:57:10","EMP0593","EMP0387","On Hold",NULL,"0.00","0.00","0.00",NULL,"In-house","Major",False,False,"2025-05-30 15:57:10","2025-08-19 15:57:10"
"MNT000004",2,NULL,"Plumbing","High","Ceiling fan making noise","2025-05-29 15:57:10","EMP0382","EMP0195","Completed","2025-06-08 15:57:10","6181.91","1112.74","7294.65","Lock Mechanism","Brand Service Center","None",True,True,"2025-05-29 15:57:10","2025-06-08 15:57:10"
"MNT000005",33,998,"Carpentry","High","Room door lock issue","2025-04-17 15:57:10","EMP0279","EMP0038","Completed","2025-05-01 15:57:10","4348.71","782.77","5131.48","Door Handle","Local Contractor","Major",False,False,"2025-04-17 15:57:10","2025-05-01 15:57:10"
"MNT000006",40,1062,"TV/Electronics","Medium","TV remote not working","2025-04-14 15:57:10","EMP0456","EMP0202","In Progress","2025-04-21 15:57:10","2349.66","422.94","2772.60","AC Filter","In-house","Major",False,False,"2025-04-14 15:57:10","2025-04-21 15:57:10"
"MNT000007",3,NULL,"Bathroom Fixtures","High","TV remote not working","2025-04-04 15:57:10","EMP0404","EMP0447","In Progress","2025-04-12 15:57:10","4947.45","890.54","5837.99","Remote Battery","In-house","Major",True,False,"2025-04-04 15:57:10","2025-04-12 15:57:10"
"MNT000008",2,262,"Window Repair","High","Bathroom tap leaking","2025-03-15 15:57:10","EMP0421","EMP0660","Open","2025-03-24 15:57:10","2185.37","393.37","2578.74","Geyser Element","Local Contractor","None",False,True,"2025-03-15 15:57:10","2025-03-24 15:57:10"
"MNT000009",27,535,"Pest Control","Medium","Room door lock issue","2025-06-01 15:57:10","EMP0733","EMP0666","Open","2025-06-16 15:57:10","266.45","47.96","314.41","Lock Mechanism","In-house","Major",False,True,"2025-06-01 15:57:10","2025-06-16 15:57:10"
"MNT000010",20,NULL,"Pest Control","Critical","AC not cooling properly","2025-04-07 15:57:10","EMP0297","EMP0113","Completed","2025-04-17 15:57:10","9197.64","1655.58","10853.22","Door Handle","In-house","Major",True,False,"2025-04-07 15:57:10","2025-04-17 15:57:10"
