"booking_id","customer_id","hotel_id","room_id","check_in_date","check_out_date","nights","adults","children","total_guests","booking_status","payment_status","base_amount_inr","gst_amount_inr","total_amount_inr","paid_amount_inr","booking_date","special_requests","booking_source","cancellation_policy","guest_nationality","created_at"
"IND000001",7546,45,1376,"2026-03-01","2026-03-16",15,2,3,5,"Confirmed","Paid","492795.00","59135.40","551930.40","204245.99","2026-01-04","None","Phone","24 hours before check-in","Indian","2025-12-06 14:55:13"
"IND000002",863,22,232,"2026-01-24","2026-02-11",18,3,1,4,"Checked In","Refunded","121986.00","14638.32","136624.32","63218.07","2026-01-11","Wedding arrangements","Corporate","24 hours before check-in","Foreign","2025-12-17 14:55:13"
"IND000003",4410,37,2062,"2025-08-27","2025-09-17",21,1,3,4,"Checked In","Refunded","617967.00","74156.04","692123.04","268452.10","2025-06-07","Wedding arrangements","Corporate","24 hours before check-in","Indian","2025-07-02 14:55:13"
"IND000004",3913,42,1782,"2025-08-21","2025-08-25",4,2,4,6,"No Show","Pending","108900.00","13068.00","121968.00","101610.58","2025-07-13","Business meeting setup","Corporate","24 hours before check-in","Foreign","2025-08-03 14:55:13"
"IND000005",2736,39,2264,"2025-08-01","2025-08-02",1,1,2,3,"Pending","Paid","14923.00","1790.76","16713.76","13784.35","2025-05-12","Anniversary celebration","MakeMyTrip","24 hours before check-in","Foreign","2025-06-27 14:55:13"
"IND000006",4217,39,998,"2026-01-04","2026-01-18",14,3,3,6,"Cancelled","Partial","432278.00","51873.36","484151.36","427231.87","2025-11-30","Vegetarian meals only","Goibibo","24 hours before check-in","Foreign","2025-11-28 14:55:13"
"IND000007",6423,14,886,"2026-01-13","2026-01-28",15,5,3,8,"Pending","Paid","528420.00","63410.40","591830.40","506405.85","2025-12-10","None","Corporate","24 hours before check-in","Foreign","2025-12-20 14:55:13"
"IND000008",7456,39,1994,"2025-12-04","2025-12-11",7,2,0,2,"Checked Out","Pending","91777.00","11013.24","102790.24","32230.03","2025-10-21","Wedding arrangements","Website","24 hours before check-in","Indian","2025-11-14 14:55:13"
"IND000009",6898,16,1235,"2025-05-09","2025-05-21",12,2,3,5,"Confirmed","Partial","372816.00","44737.92","417553.92","142416.68","2025-02-17","Quiet room","Corporate","24 hours before check-in","Foreign","2025-04-17 14:55:13"
"IND000010",5273,7,2088,"2026-03-20","2026-03-23",3,1,0,1,"Checked Out","Paid","88275.00","10593.00","98868.00","59573.48","2026-02-25","Honeymoon package","Goibibo","24 hours before check-in","Foreign","2026-01-20 14:55:13"
"IND000011",5477,42,535,"2026-02-28","2026-03-20",20,5,1,6,"Checked Out","Refunded","125220.00","15026.40","140246.40","38109.61","2025-12-06","Late check-in","Corporate","24 hours before check-in","Foreign","2025-12-03 14:55:13"
"IND000012",6140,20,1656,"2026-04-11","2026-05-01",20,2,4,6,"Checked In","Paid","388740.00","46648.80","435388.80","253882.23","2026-03-03","Cultural tour arrangement","Website","24 hours before check-in","Foreign","2026-03-27 14:55:13"
"IND000013",3062,1,30,"2025-10-05","2025-10-17",12,2,4,6,"No Show","Partial","225000.00","27000.00","252000.00","144564.74","2025-09-16","Extra towels","Goibibo","24 hours before check-in","Foreign","2025-07-09 14:55:13"
"IND000014",517,20,2735,"2026-03-16","2026-04-05",20,2,3,5,"Checked Out","Partial","71200.00","8544.00","79744.00","67799.03","2026-01-20","None","MakeMyTrip","24 hours before check-in","Indian","2026-03-12 14:55:13"
"IND000015",6367,45,1934,"2025-05-16","2025-06-05",20,2,3,5,"Confirmed","Partial","130500.00","15660.00","146160.00","121203.76","2025-03-08","Extra towels","Corporate","24 hours before check-in","Indian","2025-03-27 14:55:13"
"IND000016",1552,43,218,"2025-09-30","2025-10-17",17,3,0,3,"Checked In","Partial","572135.00","68656.20","640791.20","218100.15","2025-07-14","Business meeting setup","Website","24 hours before check-in","Foreign","2025-08-24 14:55:13"
"IND000017",7806,49,1075,"2025-06-08","2025-06-15",7,5,1,6,"Checked Out","Paid","144207.00","17304.84","161511.84","45700.91","2025-04-28","None","Phone","24 hours before check-in","Foreign","2025-05-19 14:55:13"
"IND000018",6727,35,2031,"2026-03-11","2026-03-22",11,6,2,8,"Checked Out","Pending","140602.00","16872.24","157474.24","72787.96","2026-02-26","Ayurvedic spa booking","OYO","24 hours before check-in","Foreign","2026-01-04 14:55:13"
"IND000019",6122,25,2148,"2026-01-08","2026-01-24",16,3,0,3,"No Show","Refunded","560752.00","67290.24","628042.24","366579.43","2025-11-16","Ayurvedic spa booking","MakeMyTrip","24 hours before check-in","Indian","2025-10-21 14:55:13"
